question,selected,diversity
非法微整形机构构成非法经营罪吗,"非法微整形机构是否构成非法经营罪？, 微整形机构未经许可从事服务是否会触犯非法经营罪的相关规定？, 非法经营微整形服务是否会被追究刑事责任？, 非法微整形机构会因扰乱市场秩序而被判定为非法经营罪吗？, 违反法律规定从事微整形是否属于非法经营？, 非法开展微整形项目会不会构成刑事犯罪？, 未经许可经营微整形项目的机构会构成非法经营罪吗？, 非法从事微整形的行为是否属于非法经营的范畴？, 微整形机构未获得批准从事微整形项目是否违反非法经营罪？, 非法经营微整形项目的机构是否面临非法经营罪的惩罚？",19.64330568909645
入室持刀行凶伤人能不能判刑,"入室持刀伤人会被判刑吗？, 造成他人伤害的入室持刀行为会判几年？, 入室行凶持刀伤人会面临怎样的法律后果？, 以持刀方式入室伤人会被判多长时间？, 入室持刀造成他人伤害的刑罚是什么？, 持刀入室伤人能否构成犯罪？, 持刀伤人入室会被判刑几年的监禁？, 入室持刀致人重伤如何定罪处罚？, 入室行凶致伤能判多久刑期？, 入室持刀伤人算故意伤害罪吗？",21.63271552324295
我在辅道正常右转进主道，主道有两个车，后面的车占用对向车道超车，撞了是谁的责任,"在辅道右转进入主道时，如果主道上有两辆车，后面的车占用对向车道超车并发生碰撞，应该由谁负责？, 发生事故时，辅道正常右转进入主道后，后面车辆越过对向车道超车撞到前车，责任如何认定？, 主道上两车并行，后方车辆超车进入对向车道发生碰撞，责任该如何划定？, 辅道右转进入主道时，后面的车辆因占用对向车道超车发生碰撞，这种情况下谁应承担责任？, 如果在辅道右转进入主道时发生交通事故，后面车辆占道超车撞击了前车，责任该如何划分？, 主道上有两辆车，后面的车占用对向车道超车撞到前车，责任应该归谁？, 交通事故发生时，如果辅道右转进入主道，后方车辆越过对向车道超车，责任该由谁承担？, 如果辅道正常右转进入主道，后面的车占用对向车道超车并发生碰撞，应该由谁负责赔偿？, 发生交通事故时，如果辅道右转进入主道后，后面的车在对向车道超车导致撞击，责任由谁承担？, 如果辅道右转进入主道时，后面车辆越过车道超车撞上了前车，责任应该是谁的？",15.923960506916046
对交通事故责任认定书不服怎么办，交通事故损,"如果我对交通事故责任认定书有异议，应该怎么办？, 交通事故责任认定书下发后，有没有时间限制可以申请复议？, 交通事故认定书的处理结果不满意，复议要经过什么步骤？, 交通事故认定书发下来了，我不认同，如何向上级申诉？, 如果对交通事故责任认定书的内容不满，复议要在多少天内进行？, 在接到交通事故责任认定书后，复议的具体程序是什么？, 我对交通事故认定书不服，能向哪个机关申请复议？, 如果我对交通事故责任认定不服，复议时需要注意什么？, 我对交通事故认定书中的责任划分不满意，如何进行复议？, 交通事故责任认定书下发后，如果不服可以如何处理？",21.744651049375534
二审一般要多久,"二审一般需要多久才能审结？, 如何理解《民事诉讼法》对二审审限的规定？, 在二审中，哪些特殊情况可能导致审理时间延长？, 法院审理对裁定的上诉案件需要多久时间？, 二审审结的时间是否能根据具体情况进行调整？, 关于二审的审限，《民事诉讼法》做出了哪些要求？, 什么时候二审案件的审理可以超过三个月？, 如果特殊情况出现，二审的审限如何延长？, 二审立案后是否一定要在三个月内审结？, 二审案件的审理时间是否受到案件复杂性的影响？",31.120493188500404
欠钱没有欠条有录音能起诉吗,"如果没有欠条，但有录音证据能起诉吗？, 仅凭录音是否足以支持诉讼，而没有欠条的情况下？, 录音没有经过修改和剪辑，能作为有效证据吗？, 仅凭未经篡改的录音能否作为起诉依据，尽管没有欠条？, 没有书面欠条，只有录音的话能否向法院提起诉讼？, 录音资料能够作为唯一证据在没有欠条的情况下起诉吗？, 没有欠条但有清晰录音，能否作为法院受理的依据？, 录音如果未被篡改，是否能够作为没有欠条情况下的诉讼证据？, 如果没有欠条，且有录音和其他证据，能否立案？, 没有书面欠条，但有合法的录音，可以用于诉讼吗？",23.68810796737671
帮助别人套花呗违法吗,"用花呗套现收取手续费是否合法？, 收取手续费帮助他人通过花呗套现算不算犯罪？, 花呗套现时收取服务费用属于违法行为吗？, 帮助他人花呗套现并从中收取费用是否合法？, 通过花呗套现并收取费用会触犯什么法律？, 花呗套现并收取手续费的行为是否触犯法律？, 帮别人通过花呗套现并收取手续费是犯罪吗？, 使用花呗进行套现并从中收取费用是否合法？, 花呗套现并收取服务费算不算违法行为？, 帮别人套现花呗收取手续费是违法的吗？",18.042059749364853
因工作被三处烫伤，伤为三级烫伤，三处都需要植皮，鉴定能达到几级？,"我因工作受伤，三处烫伤为三级烫伤，植皮治疗后，能评定为几级伤残？, 三级烫伤并且需要植皮，经过鉴定后会被评为什么等级的伤残？, 我工作时被烫伤三处，均为三级且需要植皮，伤残鉴定结果是多少？, 如果工作中遭遇三级烫伤并且需要植皮，伤残等级会评定为几级？, 三处三级烫伤需要植皮治疗，经过专业鉴定会评为几级伤残？, 因工作烫伤三处，均为三级且需要植皮，这样的伤残等级是什么？, 如果因工作被烫伤到三级，且需要植皮治疗，伤残评定是多少级？, 我三处三级烫伤需要植皮，伤残鉴定能达到什么级别？, 伤为三级烫伤且需要植皮，伤残等级会评定为什么级别？, 三处三级烫伤需要植皮治疗，经过鉴定能达到几级伤残？",19.526848882436752
从合伙经营公司撤资，只给欠条有用吗,"从合伙公司撤资后，欠条是否有效？, 撤资之后，欠条能否在法律上被视为债务凭证？, 从合伙企业退出后，欠条能否替代其他法律文书证明债权？, 解除合伙关系后，是否仅凭欠条能够主张债权？, 撤资后欠条算不算合法的债务凭证？, 退出合伙关系后，欠条是否能够作为清算依据之一？, 如果合伙人撤资，欠条是否足够支持债权主张？, 解除合伙关系后，欠条是否具有合法债权的证明效力？, 合伙人撤资后，欠条是否能够被法院认可为有效凭证？, 在解除合伙关系后，欠条是否可以证明欠款的存在？",21.84568417072296
事故中我摩托车付次要责任，自行车付主要责任，我怎赔他医药费,"如果我在摩托车事故中负次要责任，自行车方负主要责任，我需要赔偿他多少医药费？, 如果摩托车承担次要责任，交强险医疗费用额度内的部分我全额支付，剩余部分如何分担？, 交强险医疗费用已经支付的部分，我还需要负担多少责任来赔偿他方的医药费？, 如果我在事故中负次要责任，交强险的赔偿额度有限，我如何按比例支付超过额度的医疗费？, 在这起摩托车事故中，我的摩托车承担次要责任，自行车承担主要责任，那么我应该如何支付医药费用？, 如果我负次要责任，交强险支付的医疗费用会覆盖哪些部分，我还需要承担什么？, 在摩托车与自行车的交通事故中，我负次要责任，如何按照交强险的规定赔偿医药费？, 在摩托车事故中，如果交强险的医疗费额度足够，我需要支付哪些费用？, 如果事故中摩托车负次要责任，而自行车负主要责任，我该如何处理赔偿责任和支付医药费用？, 如果我的摩托车负次要责任，交强险支付部分医疗费后，剩下的费用由我如何分担？",22.137497037649155
